record_status,authors_year,title,doi_isbn,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,total_score,decision,provenance_note
retained_after_quality_assessment,Jin et al. (2021),A Dynamic Joint Real-Time Scheduling Strategy of Truck and Yard Crane in Container Terminals,10.1109/ICNSC52481.2021.9702168,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Li and Li (2010),Modeling and Simulation of Container Terminal Logistics Systems Using Harvard Architecture and Agent-Based Computing,10.1109/WSC.2010.5679030,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Li et al. (2009),Modeling and Simulation of Yard Trailer Dispatching at Container Terminals,10.1109/ICAL.2009.5262988,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Liu and Liu (2016),The Hybrid Intelligence Swam Algorithm for Berth-Quay Cranes and Trucks Scheduling Optimization Problem,10.1109/ICCI-CC.2016.7862049,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Supeno el at. (2015),Optimum Scheduling System for Container Truck Based on Genetic Algorithm on Spin(Simulator Pelabuhan Indonesia),10.1109/IDM.2015.7516352,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Zhang et al. (2022),Real-Time Scheduling of Autonomous Mining Trucks via Flow Allocation-Accelerated Tabu Search,10.1109/TIV.2022.3166564,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Zhang et al. (2021),Scheduling of Autonomous Mining Trucks: Allocation Model Based Tabu Search Algorithm Development,10.1109/ITSC48978.2021.9564491,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Zouhaier and Ben Said (2016),An {{Application Oriented Multi-Agent Based Approach}} to {{Dynamic Truck Scheduling}} at {{Cross-Dock}},10.1109/PDCAT.2016.058,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,da Silva et al. (2023),Integration of Machine Learning and Simulation for Dynamic Rescheduling in Truck Appointment Systems,10.1016/j.simpat.2023.102747,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Essghaier et al. (2023),Fuzzy Multi-Objective Truck Scheduling in Multi-Modal Rail-Road Physical Internet Hubs,10.1016/j.cie.2023.109404,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Khodashenas et al. (2026),The Cost and Time Objectives Minimization in Cross-Dock Truck Scheduling of Perishable Goods Considering Uncertainty,10.5829/ije.2026.39.02b.16,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Luan et al. (2025),An Efficient Real-Time Railway Container Yard Management Method Based on Partial Decoupling,10.1109/TASE.2025.3559241,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Movassaghi and Darestani (2021),Multiple Cross-Docks Scheduling with Multiple Doors Using Fuzzy Approach and Metaheuristic Algorithms,10.48295/ET.2020.79.3,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Fonseca et al. (2025),A Predictive-Reactive Cross-Dock Rescheduling System under Truck Arrival Uncertainty,10.1007/s11590-024-02137-6,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
retained_after_quality_assessment,Wang et al. (2023),Flexible Storage Yard Management in Container Terminals under Uncertainty,10.1016/j.cie.2023.109753,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,not_preserved_in_local_export,>7.5,included,Included study present in the final extraction spreadsheet; item-level QA scores were not preserved in the exported local materials.
